week,symbol,cluster_id,w_fast,w_slow,w
2019-02-04,LINK,,-0.05,0.0,-0.02225112176021571
2019-02-04,LTC,,0.0,0.05,0.009536195040092448
2019-02-04,TRX,,-0.05,0.0,-0.02225112176021571
2019-02-04,VET,,0.0,-0.05,-0.009536195040092448
2019-02-04,XLM,,0.05,0.0,0.02225112176021571
2019-02-04,XRP,,-0.05,0.0,-0.02225112176021571
2019-02-11,ADA,,0.0,0.0,0.0
2019-02-11,BNB,,0.0,-0.05,-0.014999595534746507
2019-02-11,BTC,,0.05,-0.05,0.01999946071299534
2019-02-11,ETC,,0.05,0.05,0.04999865178248835
2019-02-11,ETH,,0.0,0.05,0.014999595534746507
2019-02-11,LINK,,-0.05,0.0,-0.03499905624774185
2019-02-11,LTC,,0.05,0.05,0.04999865178248835
2019-02-11,TRX,,-0.05,0.0,-0.03499905624774185
2019-02-11,VET,,0.0,-0.05,-0.014999595534746507
2019-02-11,XLM,,0.0,0.0,0.0
2019-02-11,XRP,,-0.05,0.0,-0.03499905624774185
2019-02-18,ADA,,0.0,0.0,0.0
2019-02-18,BNB,,0.0,-0.05,-0.012276268743429991
2019-02-18,BTC,,0.05,-0.05,0.01636835832457332
2019-02-18,ETC,,0.05,0.05,0.0409208958114333
2019-02-18,ETH,,0.0,0.05,0.012276268743429991
2019-02-18,LINK,,-0.05,0.0,-0.02864462706800331
2019-02-18,LTC,,0.05,0.05,0.0409208958114333
2019-02-18,TRX,,-0.05,0.0,-0.02864462706800331
2019-02-18,VET,,0.0,-0.05,-0.012276268743429991
2019-02-18,XLM,,0.0,0.0,0.0
2019-02-18,XRP,,-0.05,0.0,-0.02864462706800331
2019-02-25,ADA,,0.0,0.0,0.0
2019-02-25,BNB,,0.0,-0.05,-0.011959034001815477
2019-02-25,BTC,,0.05,-0.05,0.0159453786690873
2019-02-25,ETC,,0.05,0.05,0.03986344667271825
2019-02-25,ETH,,0.0,0.05,0.011959034001815477
2019-02-25,LINK,,-0.05,0.0,-0.027904412670902778
2019-02-25,LTC,,0.05,0.05,0.03986344667271825
2019-02-25,TRX,,-0.05,0.0,-0.027904412670902778
2019-02-25,VET,,0.0,-0.05,-0.011959034001815477
2019-02-25,XLM,,0.0,0.0,0.0
2019-02-25,XRP,,-0.05,0.0,-0.027904412670902778
2019-03-04,ADA,,0.0,0.0,0.0
2019-03-04,BNB,,0.0,-0.05,-0.011999941792997144
2019-03-04,BTC,,0.05,-0.05,0.015999922390662856
2019-03-04,ETC,,0.05,0.0,0.02799986418366
2019-03-04,ETH,,0.0,0.0,0.0
2019-03-04,FET,,-0.05,0.0,-0.02799986418366
2019-03-04,LINK,,-0.05,0.05,-0.015999922390662856
2019-03-04,LTC,,0.05,-0.05,0.015999922390662856
2019-03-04,TRX,,-0.05,0.05,-0.015999922390662856
2019-03-04,VET,,0.0,0.0,0.0
2019-03-04,XLM,,0.0,0.05,0.011999941792997144
2019-03-04,XRP,,-0.05,0.0,-0.02799986418366
2019-03-11,ADA,,0.0,0.0,0.0
2019-03-11,BNB,,0.0,-0.05,-0.014411744583959189
2019-03-11,BTC,,0.05,-0.05,0.019215659445278917
2019-03-11,ETC,,0.05,0.0,0.033627404029238105
2019-03-11,ETH,,0.0,0.0,0.0
2019-03-11,FET,,-0.05,0.0,-0.033627404029238105
2019-03-11,LINK,,-0.05,0.05,-0.019215659445278917
2019-03-11,LTC,,0.05,-0.05,0.019215659445278917
2019-03-11,TRX,,-0.05,0.05,-0.019215659445278917
2019-03-11,VET,,0.0,0.0,0.0
2019-03-11,XLM,,0.0,0.05,0.014411744583959189
2019-03-11,XRP,,-0.05,0.0,-0.033627404029238105
2019-03-18,ADA,,0.0,0.0,0.0
2019-03-18,BNB,,0.05,-0.05,0.016235331815170576
2019-03-18,BTC,,0.05,-0.05,0.016235331815170576
2019-03-18,ETC,,0.05,0.0,0.02841183067654851
2019-03-18,ETH,,0.0,0.0,0.0
2019-03-18,FET,,-0.05,0.0,-0.02841183067654851
2019-03-18,LINK,,-0.05,0.05,-0.016235331815170576
2019-03-18,LTC,,0.0,-0.05,-0.012176498861377933
2019-03-18,TRX,,-0.05,0.05,-0.016235331815170576
2019-03-18,VET,,0.0,0.0,0.0
2019-03-18,XLM,,0.0,0.05,0.012176498861377933
2019-03-18,XRP,,-0.05,0.0,-0.02841183067654851
2019-03-25,ADA,,0.0,0.0,0.0
2019-03-25,BNB,,0.05,-0.05,0.01998897049702783
2019-03-25,BTC,,0.05,-0.05,0.01998897049702783
2019-03-25,ETC,,0.05,0.0,0.0349806983697987
2019-03-25,ETH,,0.0,0.0,0.0
2019-03-25,FET,,-0.05,0.0,-0.0349806983697987
2019-03-25,LINK,,-0.05,0.05,-0.01998897049702783
2019-03-25,LTC,,0.0,-0.05,-0.014991727872770874
2019-03-25,TRX,,-0.05,0.05,-0.01998897049702783
2019-03-25,VET,,0.0,0.0,0.0
2019-03-25,XLM,,0.05,0.05,0.04997242624256958
2019-03-25,XRP,,-0.05,0.0,-0.0349806983697987
2019-03-25,ZEC,,-0.05,0.0,-0.0349806983697987
2019-04-01,ADA,,0.0,0.05,0.012170834787251962
2019-04-01,BNB,,0.05,-0.05,0.016227779716335947
2019-04-01,BTC,,0.05,-0.05,0.016227779716335947
2019-04-01,DASH,,0.0,0.0,0.0
2019-04-01,ETC,,-0.05,0.0,-0.02839861450358791
2019-04-01,ETH,,0.0,0.0,0.0
2019-04-01,FET,,0.0,0.0,0.0
2019-04-01,LINK,,0.0,0.05,0.012170834787251962
2019-04-01,LTC,,-0.05,0.05,-0.016227779716335947
2019-04-01,TRX,,-0.05,0.05,-0.016227779716335947
2019-04-01,VET,,0.05,-0.05,0.016227779716335947
2019-04-01,XLM,,0.05,0.0,0.02839861450358791
2019-04-01,XRP,,-0.05,-0.05,-0.040569449290839874
2019-04-01,ZEC,,0.0,0.0,0.0
2019-04-08,ADA,,0.0,0.05,0.014999999167044059
2019-04-08,BNB,,0.05,-0.05,0.019999998889392075
