week,factor,ic
2019-11-04,MAXRET,0.012280701754385965
2019-11-04,CRASH8,0.20175438596491227
2019-11-04,BETA26,0.08578431372549021
2019-11-04,NEWC,-0.08051168569626033
2019-11-04,SKEW52,-0.11428571428571425
2019-11-04,TVLC,
2019-11-11,VOLC,0.22280701754385965
2019-11-11,MAXRET,0.2210526315789474
2019-11-11,CRASH8,-0.01754385964912281
2019-11-11,BETA26,-0.17401960784313728
2019-11-11,NEWC,-0.11738152307118328
2019-11-11,SKEW52,0.05714285714285713
2019-11-11,TVLC,
2019-11-18,VOLC,-0.3037593984962406
2019-11-18,MAXRET,-0.3488721804511278
2019-11-18,CRASH8,0.2631578947368421
2019-11-18,BETA26,0.4730392156862746
2019-11-18,NEWC,-0.18209184989247665
2019-11-18,SKEW52,0.21428571428571427
2019-11-18,TVLC,
2019-11-25,VOLC,-0.15789473684210525
2019-11-25,MAXRET,-0.22105263157894736
2019-11-25,CRASH8,-0.1087719298245614
2019-11-25,BETA26,0.2034313725490196
2019-11-25,NEWC,-0.038374728696348386
2019-11-25,SKEW52,0.2821428571428571
2019-11-25,TVLC,
2019-12-02,VOLC,0.34736842105263155
2019-12-02,MAXRET,0.23609022556390977
2019-12-02,CRASH8,-0.22406015037593985
2019-12-02,BETA26,-0.3106295149638803
2019-12-02,NEWC,-0.0025990908670624284
2019-12-02,SKEW52,0.10714285714285714
2019-12-02,TVLC,
2019-12-09,VOLC,0.016541353383458645
2019-12-09,MAXRET,-0.156390977443609
2019-12-09,CRASH8,0.14736842105263157
2019-12-09,BETA26,0.3746130030959752
2019-12-09,NEWC,-0.07927227144540408
2019-12-09,SKEW52,-0.014285714285714282
2019-12-09,TVLC,
2019-12-16,VOLC,0.3669172932330827
2019-12-16,MAXRET,0.14887218045112782
2019-12-16,CRASH8,-0.15939849624060148
2019-12-16,BETA26,-0.17440660474716205
2019-12-16,NEWC,-0.4132554478629261
2019-12-16,SKEW52,-0.02941176470588235
2019-12-16,TVLC,
2019-12-23,VOLC,0.38051948051948054
2019-12-23,MAXRET,0.2922077922077922
2019-12-23,CRASH8,-0.4781954887218045
2019-12-23,BETA26,-0.2614035087719298
2019-12-23,NEWC,-0.04093568115623325
2019-12-23,SKEW52,0.2647058823529412
2019-12-23,TVLC,
2019-12-30,VOLC,0.11038961038961038
2019-12-30,MAXRET,-0.2909090909090909
2019-12-30,CRASH8,-0.16691729323308271
2019-12-30,BETA26,-0.5719298245614035
2019-12-30,NEWC,-0.3099415858971946
2019-12-30,SKEW52,-0.24754901960784317
2019-12-30,TVLC,
2020-01-06,VOLC,-0.2636363636363636
2020-01-06,MAXRET,-0.6610389610389611
2020-01-06,CRASH8,-0.274025974025974
2020-01-06,BETA26,-0.531578947368421
2020-01-06,NEWC,-0.24951272323799317
2020-01-06,SKEW52,-0.24754901960784317
2020-01-06,TVLC,
2020-01-13,VOLC,-0.29480519480519485
2020-01-13,MAXRET,-0.21428571428571425
2020-01-13,CRASH8,0.01818181818181818
2020-01-13,BETA26,0.2263157894736842
2020-01-13,NEWC,-0.030539317687983538
2020-01-13,SKEW52,-0.13480392156862747
2020-01-13,TVLC,
2020-01-20,VOLC,-0.1935064935064935
2020-01-20,MAXRET,-0.35454545454545455
2020-01-20,CRASH8,-0.21428571428571425
2020-01-20,BETA26,-0.03609022556390977
2020-01-20,NEWC,-0.3164393130648507
2020-01-20,SKEW52,0.04411764705882353
2020-01-20,TVLC,
2020-01-27,VOLC,0.16623376623376623
2020-01-27,MAXRET,0.36233766233766235
2020-01-27,CRASH8,0.4285714285714285
2020-01-27,BETA26,-0.18796992481203004
2020-01-27,NEWC,0.44379476555090963
2020-01-27,SKEW52,0.10784313725490197
2020-01-27,TVLC,
2020-02-03,VOLC,0.24025974025974026
2020-02-03,MAXRET,0.3090909090909091
2020-02-03,CRASH8,0.24545454545454545
2020-02-03,BETA26,0.07969924812030074
2020-02-03,NEWC,-0.12930477063635581
2020-02-03,SKEW52,0.232843137254902
2020-02-03,TVLC,
2020-02-10,VOLC,0.059740259740259746
2020-02-10,MAXRET,0.12207792207792208
2020-02-10,CRASH8,-0.2
2020-02-10,BETA26,-0.1609022556390977
2020-02-10,NEWC,-0.16049386104110497
2020-02-10,SKEW52,0.3504901960784314
2020-02-10,TVLC,
2020-02-17,VOLC,0.025974025974025972
2020-02-17,MAXRET,-0.024675324675324677
2020-02-17,CRASH8,0.2350649350649351
2020-02-17,BETA26,-0.11879699248120301
2020-02-17,NEWC,-0.14684863398902723
2020-02-17,SKEW52,-0.2034313725490196
2020-02-17,TVLC,
2020-02-24,VOLC,-0.5077922077922078
2020-02-24,MAXRET,-0.47402597402597396
2020-02-24,CRASH8,-0.031168831168831172
2020-02-24,BETA26,-0.10389610389610389
2020-02-24,NEWC,0.07927227144540408
2020-02-24,SKEW52,0.11519607843137256
2020-02-24,TVLC,
2020-03-02,VOLC,0.287012987012987
2020-03-02,MAXRET,0.1753246753246753
2020-03-02,CRASH8,-0.18441558441558442
2020-03-02,BETA26,-0.2961038961038961
2020-03-02,NEWC,-0.13905136138783994
2020-03-02,SKEW52,0.17647058823529413
2020-03-02,TVLC,
2020-03-09,VOLC,0.06623376623376624
2020-03-09,MAXRET,0.3311688311688311
2020-03-09,CRASH8,0.3038961038961039
2020-03-09,BETA26,0.2155844155844156
2020-03-09,NEWC,0.11630931630104369
2020-03-09,SKEW52,0.40350877192982454
2020-03-09,TVLC,
2020-03-16,VOLC,0.5324675324675324
2020-03-16,MAXRET,0.6467532467532467
2020-03-16,CRASH8,0.02727272727272727
2020-03-16,BETA26,-0.087012987012987
2020-03-16,NEWC,-0.36062385780491196
2020-03-16,SKEW52,-0.13725490196078433
2020-03-16,TVLC,
2020-03-23,VOLC,-0.16363636363636364
2020-03-23,MAXRET,0.16753246753246753
2020-03-23,CRASH8,0.512987012987013
2020-03-23,BETA26,0.3649350649350649
2020-03-23,NEWC,-0.19493181502968213
2020-03-23,SKEW52,0.6070175438596491
2020-03-23,TVLC,
2020-03-30,VOLC,-0.01948051948051948
2020-03-30,MAXRET,0.024675324675324677
2020-03-30,CRASH8,0.09480519480519481
2020-03-30,BETA26,-0.22337662337662337
2020-03-30,NEWC,-0.29434704069482004
2020-03-30,SKEW52,-0.08421052631578947
2020-03-30,TVLC,
2020-04-06,VOLC,-0.22207792207792207
2020-04-06,MAXRET,-0.41038961038961036
2020-04-06,CRASH8,0.5909090909090908
2020-04-06,BETA26,0.34935064935064936
