week,MAXRET,SKEW52,VOLC,BETA26,CRASH8,NEWC,TVLC
2022-05-30,0.0,0.0,1.0,0.0,0.4,0.0,0.6
2022-06-06,0.0,0.0,1.0,0.0,0.4,0.0,0.6
2022-06-13,0.0,0.0,1.0,0.0,0.4,0.0,0.6
2022-06-20,0.0,0.8810860561435807,0.11891394385641929,0.25,0.375,0.125,0.25
2022-06-27,0.0,0.7422282569856359,0.2577717430143641,0.25,0.375,0.125,0.25
2022-07-04,0.0,1.0,0.0,0.25,0.375,0.125,0.25
2022-07-11,0.0,1.0,0.0,0.375,0.25,0.25,0.125
2022-07-18,0.0,1.0,0.0,0.25,0.375,0.125,0.25
2022-07-25,0.0,1.0,0.0,0.25,0.375,0.125,0.25
2022-08-01,0.0,1.0,0.0,0.375,0.25,0.25,0.125
2022-08-08,0.0,1.0,0.0,0.375,0.25,0.25,0.125
2022-08-15,0.10162872654538539,0.8983712734546146,0.0,0.375,0.25,0.25,0.125
2022-08-22,0.34905632425705935,0.62682587182602,0.02411780391692071,0.25,0.375,0.125,0.25
2022-08-29,0.4972610454103314,0.2256693800235498,0.2770695745661188,0.25,0.375,0.125,0.25
2022-09-05,0.548653449186309,0.13055062166962697,0.3207959291440641,0.25,0.375,0.125,0.25
2022-09-12,0.410116167853727,0.19049299371337824,0.3993908384328947,0.25,0.375,0.125,0.25
2022-09-19,0.3972032764416017,0.12590151094866686,0.47689521260973144,0.25,0.375,0.125,0.25
2022-09-26,0.41868001998123716,0.11747505391278916,0.46384492610597367,0.25,0.375,0.125,0.25
2022-10-03,0.36833263334733307,0.14531709365812678,0.4863502729945401,0.25,0.375,0.125,0.25
2022-10-10,0.2751400397301216,0.0,0.7248599602698784,0.0,0.4,0.0,0.6
2022-10-17,0.3427415201725038,0.09727007532086951,0.5599884045066267,0.25,0.375,0.125,0.25
2022-10-24,0.31308702669439836,0.0,0.6869129733056015,0.0,0.4,0.0,0.6
2022-10-31,0.4000062142553668,0.3714244671895196,0.22856931855511356,0.375,0.25,0.25,0.125
2022-11-07,0.3495614579905522,0.13512080789942224,0.5153177341100256,0.25,0.375,0.125,0.25
2022-11-14,0.3777317677106023,0.16602184648901241,0.4562463858003853,0.25,0.375,0.125,0.25
2022-11-21,0.3775278935960224,0.0,0.6224721064039775,0.0,0.4,0.0,0.6
2022-11-28,0.4381603966232399,0.16218227894630408,0.39965732443045604,0.25,0.375,0.125,0.25
2022-12-05,0.45546075627193755,0.0,0.5445392437280625,0.0,0.4,0.0,0.6
2022-12-12,0.40113162982179323,0.474773687674748,0.12409468250345886,0.375,0.25,0.25,0.125
2022-12-19,0.29507665270395944,0.0,0.7049233472960406,0.0,0.4,0.0,0.6
2022-12-26,0.3138461780180804,0.0,0.6861538219819195,0.0,0.4,0.0,0.6
2023-01-02,0.6197156307955682,0.0,0.38028436920443176,0.0,0.4,0.0,0.6
2023-01-09,0.0,1.0,0.0,0.375,0.25,0.25,0.125
2023-01-16,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.375,0.25,0.25,0.125
2023-01-23,0.0,1.0,0.0,0.375,0.25,0.25,0.125
2023-01-30,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2023-02-06,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2023-02-13,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2023-02-20,0.4858130287451763,0.5141869712548237,0.0,0.375,0.25,0.25,0.125
2023-02-27,0.2675703550182007,0.33151275238075817,0.4009168926010412,0.25,0.375,0.125,0.25
2023-03-06,0.32556440417914817,0.0,0.6744355958208518,0.0,0.4,0.0,0.6
2023-03-13,0.3340167753960858,0.0,0.6659832246039141,0.0,0.4,0.0,0.6
2023-03-20,0.33907586993725053,0.0,0.6609241300627495,0.0,0.4,0.0,0.6
2023-03-27,0.31714171015656367,0.0,0.6828582898434363,0.0,0.4,0.0,0.6
2023-04-03,0.28967222198542264,0.0,0.7103277780145774,0.0,0.4,0.0,0.6
2023-04-10,0.33447730690625854,0.0,0.6655226930937416,0.0,0.4,0.0,0.6
2023-04-17,0.4317460623163991,0.36535688107589415,0.20289705660770666,0.375,0.25,0.25,0.125
2023-04-24,0.2660589151322977,0.14943321706630838,0.5845078678013939,0.25,0.375,0.125,0.25
2023-05-01,0.28037517498745945,0.1357459015714776,0.5838789234410631,0.25,0.375,0.125,0.25
2023-05-08,0.2936885062976599,0.11382509589069698,0.5924863978116431,0.25,0.375,0.125,0.25
2023-05-15,0.2826947231435926,0.09537978336765054,0.6219254934887568,0.25,0.375,0.125,0.25
2023-05-22,0.1466365178066705,0.0,0.8533634821933295,0.0,0.4,0.0,0.6
2023-05-29,0.1642053006881055,0.046970353452644026,0.7888243458592504,0.25,0.375,0.125,0.25
2023-06-05,0.0,0.1020807990625402,0.8979192009374598,0.25,0.375,0.125,0.25
2023-06-12,0.21167175531170185,0.0,0.7883282446882982,0.25,0.375,0.125,0.25
2023-06-19,0.32976174918615003,0.0,0.6702382508138499,0.0,0.4,0.0,0.6
2023-06-26,0.3956084445933775,0.03349774829991432,0.5708938071067082,0.25,0.375,0.125,0.25
2023-07-03,0.45502425720923817,0.0,0.5449757427907619,0.0,0.4,0.0,0.6
2023-07-10,0.4826923365832821,0.0,0.517307663416718,0.0,0.4,0.0,0.6
2023-07-17,0.7951120431683921,0.04027756347817596,0.1646103933534319,0.375,0.25,0.25,0.125
2023-07-24,0.5607448606553505,0.061494304903164654,0.37776083444148506,0.25,0.375,0.125,0.25
2023-07-31,0.5568033081279766,0.06062949980797909,0.3825671920640444,0.25,0.375,0.125,0.25
2023-08-07,0.4787720104395028,0.10899069610152054,0.41223729345897664,0.25,0.375,0.125,0.25
2023-08-14,0.37548585575487653,0.16382439874796015,0.46068974549716335,0.25,0.375,0.125,0.25
2023-08-21,0.3334168842978045,0.18518370496207642,0.4813994107401191,0.25,0.375,0.125,0.25
2023-08-28,0.1732957033720987,0.0,0.8267042966279012,0.0,0.4,0.0,0.6
2023-09-04,0.16746770871331443,0.32373896717566586,0.5087933241110196,0.25,0.375,0.125,0.25
2023-09-11,0.0,0.0,1.0,0.0,0.4,0.0,0.6
2023-09-18,0.08774478470567736,0.0,0.9122552152943226,0.0,0.4,0.0,0.6
2023-09-25,0.0,1.0,0.0,0.25,0.375,0.125,0.25
2023-10-02,0.19259248191858522,0.33042505027700936,0.47698246780440545,0.25,0.375,0.125,0.25
2023-10-09,0.2899681543982529,0.0,0.710031845601747,0.0,0.4,0.0,0.6
2023-10-16,0.31460084033613467,0.0,0.6853991596638652,0.0,0.4,0.0,0.6
2023-10-23,0.4285027354126179,0.10090943908959678,0.4705878254977853,0.25,0.375,0.125,0.25
