week,factor,ic
2020-02-10,NEWC,-0.16049386104110497
2020-02-10,RMOM1w,-0.26103896103896107
2020-02-10,RMOM2w,-0.2675324675324675
2020-02-10,SMBC,-0.024675324675324677
2020-02-10,NetRel,
2020-02-10,MomC,-0.15974025974025974
2020-02-10,NetMom,
2020-02-10,FunC,
2020-02-17,VolC,0.025974025974025972
2020-02-17,MAXRET,-0.024675324675324677
2020-02-17,CRASH8,0.2350649350649351
2020-02-17,BETA26,-0.11879699248120301
2020-02-17,TVLC,
2020-02-17,SKEW52,0.2034313725490196
2020-02-17,NEWC,-0.14684863398902723
2020-02-17,RMOM1w,-0.33246753246753247
2020-02-17,RMOM2w,-0.03766233766233767
2020-02-17,SMBC,-0.0961038961038961
2020-02-17,NetRel,
2020-02-17,MomC,0.016883116883116882
2020-02-17,NetMom,
2020-02-17,FunC,
2020-02-24,VolC,-0.5077922077922078
2020-02-24,MAXRET,-0.47402597402597396
2020-02-24,CRASH8,-0.031168831168831172
2020-02-24,BETA26,-0.10389610389610389
2020-02-24,TVLC,
2020-02-24,SKEW52,-0.11519607843137256
2020-02-24,NEWC,0.07927227144540408
2020-02-24,RMOM1w,0.4402597402597402
2020-02-24,RMOM2w,0.425974025974026
2020-02-24,SMBC,-0.11168831168831168
2020-02-24,NetRel,
2020-02-24,MomC,0.5116883116883117
2020-02-24,NetMom,
2020-02-24,FunC,
2020-03-02,VolC,0.287012987012987
2020-03-02,MAXRET,0.1753246753246753
2020-03-02,CRASH8,-0.18441558441558442
2020-03-02,BETA26,-0.2961038961038961
2020-03-02,TVLC,
2020-03-02,SKEW52,-0.17647058823529413
2020-03-02,NEWC,-0.13905136138783994
2020-03-02,RMOM1w,-0.24545454545454545
2020-03-02,RMOM2w,-0.2532467532467532
2020-03-02,SMBC,-0.3207792207792208
2020-03-02,NetRel,
2020-03-02,MomC,-0.15454545454545454
2020-03-02,NetMom,
2020-03-02,FunC,
2020-03-09,VolC,0.06623376623376624
2020-03-09,MAXRET,0.3311688311688311
2020-03-09,CRASH8,0.3038961038961039
2020-03-09,BETA26,0.2155844155844156
2020-03-09,TVLC,
2020-03-09,SKEW52,-0.40350877192982454
2020-03-09,NEWC,0.11630931630104369
2020-03-09,RMOM1w,-0.39610389610389607
2020-03-09,RMOM2w,-0.13246753246753248
2020-03-09,SMBC,0.22987012987012984
2020-03-09,NetRel,
2020-03-09,MomC,-0.5311688311688313
2020-03-09,NetMom,
2020-03-09,FunC,
2020-03-16,VolC,0.5324675324675324
2020-03-16,MAXRET,0.6467532467532467
2020-03-16,CRASH8,0.02727272727272727
2020-03-16,BETA26,-0.087012987012987
2020-03-16,TVLC,
2020-03-16,SKEW52,0.13725490196078433
2020-03-16,NEWC,-0.36062385780491196
2020-03-16,RMOM1w,-0.37922077922077924
2020-03-16,RMOM2w,-0.6597402597402597
2020-03-16,SMBC,0.01948051948051948
2020-03-16,NetRel,
2020-03-16,MomC,-0.34545454545454546
2020-03-16,NetMom,
2020-03-16,FunC,
2020-03-23,VolC,-0.16363636363636364
2020-03-23,MAXRET,0.16753246753246753
2020-03-23,CRASH8,0.512987012987013
2020-03-23,BETA26,0.3649350649350649
2020-03-23,TVLC,
2020-03-23,SKEW52,-0.6070175438596491
2020-03-23,NEWC,-0.19493181502968213
2020-03-23,RMOM1w,-0.13896103896103898
2020-03-23,RMOM2w,0.34025974025974026
2020-03-23,SMBC,-0.06623376623376624
2020-03-23,NetRel,
2020-03-23,MomC,-0.28831168831168835
2020-03-23,NetMom,
2020-03-23,FunC,
2020-03-30,VolC,-0.01948051948051948
2020-03-30,MAXRET,0.024675324675324677
2020-03-30,CRASH8,0.09480519480519481
2020-03-30,BETA26,-0.22337662337662337
2020-03-30,TVLC,
2020-03-30,SKEW52,0.08421052631578947
2020-03-30,NEWC,-0.29434704069482004
